拍位置,Tick,テンポ,絶対時間
65.3.0,123840,120.0,129.0
65.4.0,124320,120.0,129.5
66.1.0,124800,120.0,130.0
66.2.0,125280,120.0,130.5
66.3.0,125760,120.0,131.0
66.4.0,126240,120.0,131.5
67.1.0,126720,120.0,132.0
67.2.0,127200,120.0,132.5
67.3.0,127680,120.0,133.0
67.4.0,128160,120.0,133.5
68.1.0,128640,120.0,134.0
68.2.0,129120,120.0,134.5
68.3.0,129600,120.0,135.0
68.4.0,130080,120.0,135.5
69.1.0,130560,120.0,136.0
69.2.0,131040,120.0,136.5
69.3.0,131520,120.0,137.0
69.4.0,132000,120.0,137.5
70.1.0,132480,120.0,138.0
70.2.0,132960,120.0,138.5
70.3.0,133440,120.0,139.0
70.4.0,133920,120.0,139.5
71.1.0,134400,120.0,140.0
71.2.0,134880,120.0,140.5
71.3.0,135360,120.0,141.0
71.4.0,135840,120.0,141.5
72.1.0,136320,120.0,142.0
72.2.0,136800,120.0,142.5
72.3.0,137280,120.0,143.0
72.4.0,137760,120.0,143.5
73.1.0,138240,120.0,144.0
73.2.0,138720,120.0,144.5
73.3.0,139200,120.0,145.0
73.4.0,139680,120.0,145.5
74.1.0,140160,120.0,146.0
74.2.0,140640,120.0,146.5
74.3.0,141120,120.0,147.0
74.4.0,141600,120.0,147.5
75.1.0,142080,120.0,148.0
75.2.0,142560,120.0,148.5
75.3.0,143040,120.0,149.0
75.4.0,143520,120.0,149.5
76.1.0,144000,120.0,150.0
76.2.0,144480,120.0,150.5
76.3.0,144960,120.0,151.0
76.4.0,145440,120.0,151.5
77.1.0,145920,120.0,152.0
77.2.0,146400,120.0,152.5
77.3.0,146880,120.0,153.0
77.4.0,147360,120.0,153.5
78.1.0,147840,120.0,154.0
78.2.0,148320,120.0,154.5
78.3.0,148800,120.0,155.0
78.4.0,149280,120.0,155.5
79.1.0,149760,120.0,156.0
79.2.0,150240,120.0,156.5
79.3.0,150720,120.0,157.0
79.4.0,151200,120.0,157.5
80.1.0,151680,120.0,158.0
80.2.0,152160,120.0,158.5
80.3.0,152640,120.0,159.0
80.4.0,153120,120.0,159.5
81.1.0,153600,120.0,160.0
81.2.0,154080,120.0,160.5
81.3.0,154560,120.0,161.0
81.4.0,155040,120.0,161.5
82.1.0,155520,120.0,162.0
82.2.0,156000,120.0,162.5
